datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
1967-11-10 08:30:00,liverpool (uk/england),,gb,cylinder,300,5mins,the object just hovered very close to me with no sound silver and red like a plane with no wings,2/18/2001,53.416667,-3.0
1996-11-11 23:00:00,york (uk/england),,gb,light,300,5 minutes,Fast travelling&#44 in formation&#44 rapid change of trajectory.,9/2/2005,53.954115,-1.064262
2001-11-11 23:30:00,grimsby (uk/england),,gb,light,1800,30min,my brother see;s it first bright light come down very fast in front of our house&#44about 3-4miles away hovering over ahouse,3/19/2002,53.533333,-0.05
2002-11-11 18:40:00,wolverhampton (uk/england),,gb,formation,300,5mins,Formation Flight of two craft,11/16/2002,52.583333,-2.1333330000000004
2003-11-11 21:00:00,chesterfield (uk/england),,gb,fireball,20,20 seconds,it came from left to rite &#44in a green fkesh going down&#44&#44,11/26/2003,53.25,-1.416667
2007-11-11 18:40:00,southport (uk/england),,gb,formation,300,5 min,NINE  BRIGHT LIGHTS STATIONRY AND THENMOVED WITH PHENOMINAL SPEED AND DISAPEARED,11/28/2007,53.666667,-3.0
2012-11-11 19:30:00,macclesfield (uk/england),,gb,circle,60,60 seconds,Bright orange ball of light approaching fast from South toward Macclesfield&#44 UK.,11/19/2012,53.25,-2.1166669999999996
1974-01-11 03:00:00,cambridge (uk/england),,gb,sphere,900,15 minutes,Bright amber/orange spherical light moving erratically at night,2/18/2001,51.733333,-2.3666669999999996
1986-11-01 03:00:00,stoke-on-trent (uk/england),,gb,light,900,15 min,Whilst working as a security officer about 20 years ago&#44 I saw something&#44 that has left me without any doubts of the exsistance of ufo&#44,10/30/2006,53.0,-2.183333
1989-01-11 20:30:00,shotts (uk/scotland),,gb,rectangle,60,1 minute,Low flying object over a small town in Central Scotland.  Completely silent.,10/8/2007,55.833333,-3.85
1992-01-12 00:00:00,newtown (uk/wales),,gb,other,600,10 minutes,3 black silntly moving craft,1/17/2004,52.516667,-3.3
1993-11-01 20:00:00,sandy (uk/england),,gb,cigar,600,10 mins,Cigar shaped silent craft flies low over Sandy then disappears,2/18/2001,52.116667,-0.283333
2001-11-01 13:00:00,london (uk/england),,gb,oval,600,10 minutes,In Kensal Green Cematary we saw a slow moving&#44 shiny object with stump wings and no jet stream.,11/20/2001,51.514125,-0.093689
2001-01-11 18:00:00,norwich (uk/england),,gb,changing,360,6 minutes,Static oblong UFO which changed shape.,1/29/2002,52.633333,1.3
2001-01-11 20:45:00,nottingham (uk/england),,gb,light,120,2 minutes,3 flashing  lights verticle formation in sky&#44 1 dissapears&#44 some moments later other 2 dissapear.,2/18/2001,52.966667,-1.166667
2005-11-01 22:20:00,leicester (uk/england),,gb,circle,10,10 seconds,low flying&#44 below cloud level&#44  large&#44 very clearsighting&#44 round&#44 covered in lights no noise moving about the same speed as a plane,11/3/2005,52.664913,-1.034894
2008-11-01 21:20:00,glenrothes (uk/scotland),,gb,circle,240,4 minutes,UFO IN SCOTLAND&#44 UK,1/10/2009,56.2,-3.183333
2008-01-11 23:25:00,london (southwest) (uk/england),,gb,light,120,2 minutes,Bright orange light moving from ENE to WSW visible through high cloud.  We are near London Heathrow and have constant aircraft sighting,1/10/2009,51.514125,-0.093689
2009-11-01 20:00:00,cardiff (uk/wales),,gb,circle,0.0,on going,Bright halo in centre of bright light in sky&#44Nov 2009,4/13/2010,51.5,-3.2
